longitude,housing_median_age,<1H OCEAN,INLAND,NEAR BAY,NEAR OCEAN,Total_Rooms,Median_Income
-117.42,28.0,0,1,0,0,2300.0,3.4844
-118.13,32.0,1,0,0,0,1880.0,3.085
-116.99,18.0,1,0,0,0,4651.500000000011,6.15921
-122.03,25.0,1,0,0,0,4460.0,6.15921
-118.61,29.0,1,0,0,0,4364.0,6.15921
-120.66,46.0,0,0,0,1,2054.0,2.1786
-122.47,52.0,0,0,1,0,2941.0,2.9899
-122.21,46.0,0,0,1,0,2239.0,2.7352
-115.98,8.0,0,1,0,0,941.0,1.9038
-119.19,31.0,0,0,0,1,4175.0,3.1989
-120.43,30.0,1,0,0,0,2388.0,4.1058
-121.15,18.0,0,1,0,0,4176.0,4.0365
-120.25,22.0,0,1,0,0,4173.0,2.5562
-117.18,16.0,0,0,0,1,2374.0,2.7386
-122.43,29.0,0,0,0,1,3541.0,4.3039
-122.47,37.0,0,0,0,1,1046.0,3.5
-118.11,36.0,1,0,0,0,1680.0,4.66
-118.15,37.0,1,0,0,0,1508.0,3.75
-121.82,16.0,1,0,0,0,2085.0,5.0225
-117.14,39.0,0,0,0,1,1647.0,1.9038
-119.16,14.0,0,1,0,0,4054.0,3.0882
-121.99,26.0,1,0,0,0,3285.0,5.7833
-118.13,45.0,1,0,0,0,1320.0,4.4
-116.99,15.0,0,0,0,1,3660.0,4.0444
-121.48,50.0,0,1,0,0,1587.0,2.0833
-118.32,44.0,1,0,0,0,1448.0,2.2396
-117.13,27.0,0,0,0,1,2511.0,3.1645
-117.99,26.0,1,0,0,0,1787.0,5.5514
-118.52,35.0,1,0,0,0,1275.0,5.0282
-117.93,35.0,1,0,0,0,2160.0,3.8581
-121.47,44.0,0,1,0,0,2092.0,1.9038
-117.75,15.0,1,0,0,0,2849.0,3.2841
-118.58,35.0,1,0,0,0,1969.0,4.875
-118.44,41.0,1,0,0,0,1030.0,3.8083
-118.25,52.0,1,0,0,0,941.0,2.125
-122.42,19.0,0,0,1,0,4065.0,3.1462
-119.14,32.0,0,1,0,0,1838.0,1.9038
-118.45,8.0,1,0,0,0,2609.0,2.7714
-118.34,34.0,0,0,0,1,4651.500000000011,6.15921
-118.28,41.0,1,0,0,0,1175.0,1.9038
-124.16,15.0,0,0,0,1,2715.0,2.1829
-118.94,5.0,1,0,0,0,4651.500000000011,6.15921
-118.37,23.0,1,0,0,0,4604.0,3.1373
-121.99,23.0,0,1,0,0,2293.0,4.4536
-118.13,28.0,1,0,0,0,1119.0,2.5903
-118.12,36.0,1,0,0,0,2752.0,5.0526
-121.51,22.0,0,1,0,0,1468.0,2.3036
-117.01,17.0,1,0,0,0,1558.0,2.6934
-117.91,29.0,1,0,0,0,1444.0,2.3843
-118.25,38.0,1,0,0,0,1201.0,3.3804
-117.17,42.0,0,0,0,1,1104.0,2.2768
-122.12,50.0,0,0,1,0,1300.0,3.9519
-116.94,8.0,1,0,0,0,2517.0,2.136
-119.37,26.0,0,1,0,0,941.0,2.3438
-122.75,17.0,0,1,0,0,4162.0,3.4187
-117.65,15.0,1,0,0,0,4651.500000000011,6.15921
-122.44,52.0,0,0,1,0,1118.0,2.4196
-118.34,44.0,1,0,0,0,3183.0,5.0407
-118.12,47.0,0,0,0,1,3330.0,6.15921
-118.87,14.0,1,0,0,0,4242.0,6.0145
-118.21,44.0,1,0,0,0,1550.0,2.5268
-117.76,28.0,1,0,0,0,3085.0,6.15921
-122.44,52.0,0,0,1,0,3785.0,6.15921
-119.17,28.0,0,0,0,1,941.0,3.2917
-121.38,34.0,0,1,0,0,2352.0,2.2
-118.29,29.0,0,0,0,1,1503.0,2.1473
-120.5,16.0,0,1,0,0,1245.0,3.4559
-120.95,12.0,0,1,0,0,3609.0,2.8565
-117.88,15.0,1,0,0,0,1705.0,3.5333
-118.2,52.0,1,0,0,0,1754.0,2.3716
-122.23,52.0,0,0,1,0,2315.0,6.15921
-120.08,41.0,0,1,0,0,1164.0,2.4196
-118.71,27.0,1,0,0,0,2911.0,4.6528
-116.24,14.0,0,1,0,0,2774.0,3.0682
-118.4,27.0,1,0,0,0,3588.0,3.4013
-122.22,32.0,0,0,0,1,4281.0,6.15921
-118.27,19.0,0,1,0,0,941.0,3.2125
-118.23,20.0,0,0,0,1,941.0,2.5588
-117.83,14.0,1,0,0,0,1956.0,6.15921
-121.21,34.0,0,1,0,0,941.0,3.0
-118.2,37.0,1,0,0,0,2127.0,2.9773
-121.84,31.0,1,0,0,0,4651.500000000011,5.5592
-119.25,36.0,0,1,0,0,2332.0,1.9038
-117.02,14.0,1,0,0,0,3173.0,3.7292
-122.15,36.0,0,0,1,0,998.0,4.0208
-121.01,41.0,0,1,0,0,1045.0,2.3583
-117.16,27.0,0,0,0,1,2335.0,3.1921
-117.02,15.0,1,0,0,0,1204.0,1.9038
-119.97,26.0,0,1,0,0,1485.0,1.9667
-122.2,30.0,0,0,1,0,1170.0,3.4427
-120.0,21.0,0,1,0,0,1653.0,1.9727
-121.37,35.0,0,1,0,0,1093.0,2.7009
-121.89,12.0,1,0,0,0,4651.500000000011,6.15921
-122.25,52.0,0,0,1,0,941.0,1.9038
-119.77,24.0,0,0,0,1,4651.500000000011,2.4717
-122.24,3.0,0,0,1,0,4651.500000000011,6.15921
-118.16,30.0,1,0,0,0,1694.0,2.9779
-121.84,6.0,1,0,0,0,4651.500000000011,6.15921
-121.9,20.0,1,0,0,0,941.0,1.9038
-117.9,36.0,1,0,0,0,941.0,3.6875
-122.31,27.0,0,0,0,1,3931.0,3.9722
-120.51,39.0,0,1,0,0,941.0,5.3245
-118.26,35.0,0,0,0,1,1239.0,2.0956
-117.9,35.0,1,0,0,0,2739.0,4.5655
-119.77,50.0,0,1,0,0,1325.0,1.9038
-117.78,16.0,1,0,0,0,3781.0,6.15921
-121.91,35.0,1,0,0,0,2189.0,2.8042
-115.94,5.0,0,1,0,0,941.0,2.7
-120.44,9.0,0,1,0,0,2598.0,3.5192
-120.59,21.0,0,1,0,0,1728.0,1.9038
-117.25,27.0,0,0,0,1,2530.0,6.15921
-118.35,48.0,1,0,0,0,3551.0,3.2279
-121.4,40.0,0,1,0,0,2352.0,3.0912
-117.19,52.0,0,0,0,1,1495.0,6.15921
-117.94,24.0,1,0,0,0,4602.0,3.6771
-122.15,39.0,0,0,1,0,1295.0,5.6407
-117.93,32.0,1,0,0,0,1792.0,2.4942
-121.84,20.0,1,0,0,0,3375.0,2.6894
-117.22,10.0,0,1,0,0,4651.500000000011,2.7011
-118.37,32.0,1,0,0,0,1444.0,3.6
-117.32,6.0,0,1,0,0,1068.0,4.7222
-116.87,5.0,0,1,0,0,4116.0,2.5612
-121.24,9.0,0,1,0,0,4651.500000000011,5.1047
-120.68,33.0,0,1,0,0,1028.0,2.3043
-118.16,46.0,1,0,0,0,941.0,3.2813
-122.45,46.0,0,0,1,0,2009.0,3.7188
-117.65,28.0,0,1,0,0,2360.0,2.5048
-118.37,42.0,1,0,0,0,1809.0,2.767
-118.22,42.0,1,0,0,0,1706.0,2.5213
-118.19,24.0,0,0,0,1,1228.0,2.25
-117.86,12.0,1,0,0,0,1600.0,5.1784
-118.14,45.0,1,0,0,0,1569.0,2.4612
-124.02,22.0,1,0,0,0,2588.0,3.9792
-118.24,41.0,1,0,0,0,2067.0,5.5756
-116.63,22.0,0,1,0,0,1540.0,1.9038
-121.36,16.0,0,1,0,0,2178.0,2.3339
-122.08,17.0,1,0,0,0,2560.0,6.15921
-122.1,35.0,0,0,1,0,2063.0,6.15921
-121.96,28.0,1,0,0,0,2949.0,4.9615
-117.69,5.0,0,1,0,0,1131.0,4.0167
-117.07,39.0,0,0,0,1,2754.0,2.2454
-118.13,52.0,0,1,0,0,1464.0,5.8309
-122.01,47.0,0,0,0,1,2403.0,2.5954
-118.21,47.0,1,0,0,0,941.0,2.2656
-118.34,45.0,1,0,0,0,2230.0,5.5
-121.79,8.0,0,1,0,0,4651.500000000011,3.0625
-118.21,39.0,1,0,0,0,1315.0,3.2788
-118.38,25.0,1,0,0,0,2558.0,3.5556
-122.7,11.0,1,0,0,0,4651.500000000011,4.221
-120.65,39.0,0,1,0,0,3240.0,2.1875
-118.29,38.0,1,0,0,0,941.0,1.9286
-117.46,35.0,0,1,0,0,941.0,2.5833
-119.64,32.0,1,0,0,0,1872.0,4.625
-122.72,29.0,1,0,0,0,1706.0,1.9932
-118.2,43.0,1,0,0,0,1934.0,2.5029
-122.05,39.0,0,0,0,1,1065.0,4.5972
-122.04,33.0,0,0,1,0,952.0,3.2331
-122.49,52.0,0,0,1,0,2245.0,3.5909
-118.14,20.0,1,0,0,0,3447.0,2.918
-120.61,12.0,1,0,0,0,3430.0,2.9821
-117.85,11.0,1,0,0,0,3331.0,6.15921
-121.82,47.0,0,1,0,0,941.0,4.3472
-122.42,16.0,0,1,0,0,994.0,2.1875
-117.59,3.0,1,0,0,0,1206.0,5.1589
-118.11,46.0,0,1,0,0,2837.0,3.1115
-117.95,31.0,1,0,0,0,2349.0,3.494
-118.36,33.0,1,0,0,0,2408.0,4.2454
-119.06,11.0,0,1,0,0,2572.0,3.6786
-117.27,34.0,0,0,0,1,2105.0,2.3187
-122.72,52.0,1,0,0,0,1059.0,1.9038
-118.25,32.0,1,0,0,0,1377.0,2.2621
-124.17,20.0,0,0,0,1,2673.0,2.4605
-118.25,41.0,1,0,0,0,1979.0,4.4083
-117.91,35.0,1,0,0,0,2746.0,4.25
-119.02,52.0,0,1,0,0,941.0,1.9038
-117.97,14.0,1,0,0,0,4651.500000000011,2.8061
-122.26,41.0,0,0,1,0,2512.0,2.694
-117.39,4.0,0,1,0,0,4651.500000000011,3.5696
-118.09,34.0,1,0,0,0,1369.0,3.692
-116.92,17.0,1,0,0,0,1312.0,1.9038
-122.42,42.0,0,0,1,0,4219.0,1.9038
-121.97,36.0,1,0,0,0,941.0,6.15921
-114.56,17.0,0,1,0,0,941.0,1.9038
-122.08,37.0,0,0,1,0,1793.0,3.6458
-121.58,34.0,0,1,0,0,1376.0,1.9038
-118.35,25.0,1,0,0,0,2260.0,2.11
-118.98,18.0,0,1,0,0,1795.0,4.5375
-121.81,14.0,1,0,0,0,1870.0,4.9769
-117.62,9.0,0,1,0,0,4265.0,5.5632
-122.16,52.0,0,0,1,0,941.0,4.1458
-123.2,17.0,1,0,0,0,1620.0,1.9038
-119.85,15.0,0,1,0,0,1743.0,3.755
-121.78,43.0,0,1,0,0,3766.0,2.3468
-117.2,18.0,0,1,0,0,1859.0,6.15921
-118.13,44.0,1,0,0,0,1710.0,4.2917
-122.25,40.0,0,0,0,1,2709.0,4.6366
-117.25,32.0,0,0,0,1,3551.0,2.2017
-117.02,31.0,1,0,0,0,2567.0,3.4659
-118.48,30.0,1,0,0,0,3078.0,3.4852
-118.32,36.0,1,0,0,0,1722.0,4.0536
-120.51,26.0,0,1,0,0,2286.0,2.065
-120.98,36.0,0,1,0,0,941.0,2.5
-122.46,52.0,0,0,1,0,1207.0,6.15921
-117.62,27.0,0,0,0,1,3858.0,3.3155
-122.55,34.0,0,0,1,0,1431.0,6.15921
-116.2,28.0,0,1,0,0,1608.0,1.9038
-118.31,42.0,1,0,0,0,1173.0,5.5787
-121.89,5.0,1,0,0,0,1519.0,6.15921
-121.48,38.0,0,1,0,0,1451.0,2.3487
-117.69,17.0,0,1,0,0,3759.0,2.6074
-121.29,20.0,0,1,0,0,1881.0,1.9038
-118.12,34.0,1,0,0,0,2116.0,4.8516
-118.32,42.0,1,0,0,0,1486.0,1.9038
-122.05,22.0,0,0,1,0,4162.0,2.5459
-117.16,35.0,0,0,0,1,1213.0,3.6806
-121.29,52.0,0,1,0,0,2995.0,1.9038
-118.16,50.0,1,0,0,0,1568.0,3.1442
-122.25,34.0,0,0,1,0,941.0,4.2955
-122.89,22.0,1,0,0,0,2900.0,4.511
-117.89,27.0,1,0,0,0,2091.0,5.7519
-118.52,11.0,1,0,0,0,4651.500000000011,4.6625
-122.23,52.0,0,0,1,0,3494.0,6.15921
-118.0,35.0,1,0,0,0,941.0,5.0077
-121.98,27.0,1,0,0,0,2331.0,4.6654
-114.49,17.0,0,1,0,0,2809.0,1.9038
-118.57,4.0,1,0,0,0,4651.500000000011,6.15921
-121.21,18.0,0,1,0,0,941.0,2.5568
-117.9,19.0,1,0,0,0,1566.0,2.2105
-122.53,44.0,0,0,1,0,2846.0,3.8839
-122.07,30.0,0,0,1,0,2937.0,6.15921
-117.88,26.0,1,0,0,0,3924.0,3.7772
-121.94,23.0,1,0,0,0,1932.0,3.662
-121.08,10.0,0,1,0,0,2499.0,6.15921
-121.35,11.0,0,1,0,0,2322.0,3.175
-118.08,26.0,1,0,0,0,941.0,3.2679
-117.69,19.0,1,0,0,0,2595.0,3.668
-118.32,25.0,0,0,0,1,1099.0,6.15921
-118.3,42.0,1,0,0,0,2186.0,4.81
-117.27,31.0,0,1,0,0,2209.0,1.9038
-120.2,30.0,0,1,0,0,1189.0,3.4838
-122.06,33.0,0,0,1,0,3906.0,3.5187
-118.56,4.0,1,0,0,0,4651.500000000011,5.6798
-119.19,27.0,0,0,0,1,1887.0,2.9185
-118.2,40.0,0,0,0,1,2034.0,1.9038
-117.25,15.0,0,0,0,1,1804.0,5.9806
-118.45,38.0,1,0,0,0,1527.0,3.5714
-122.2,36.0,0,0,1,0,941.0,1.9038
-118.35,30.0,1,0,0,0,3214.0,4.6944
-122.25,25.0,0,0,1,0,1914.0,4.4562
-118.38,12.0,1,0,0,0,4235.0,6.15921
-121.45,52.0,0,1,0,0,3170.0,4.63
-118.33,21.0,1,0,0,0,4651.500000000011,2.6091
-119.75,29.0,0,1,0,0,2077.0,1.9038
-117.45,26.0,0,1,0,0,3042.0,2.76
-119.16,26.0,0,0,0,1,4651.500000000011,2.7556
-117.11,11.0,1,0,0,0,4651.500000000011,4.9485
-122.32,49.0,0,0,0,1,2016.0,5.549
-118.09,36.0,1,0,0,0,1442.0,4.0517
-121.53,19.0,0,1,0,0,1537.0,1.9038
-122.2,37.0,0,0,1,0,2680.0,1.9038
-117.96,19.0,1,0,0,0,1199.0,3.6422
-119.26,24.0,0,1,0,0,1590.0,1.9038
-118.13,36.0,1,0,0,0,1026.0,4.3438
-118.81,4.0,1,0,0,0,4651.500000000011,5.716
-122.43,52.0,0,0,1,0,2721.0,3.7545
-118.0,34.0,1,0,0,0,3712.0,4.8125
-120.98,22.0,0,1,0,0,941.0,2.4211
-118.41,39.0,1,0,0,0,2311.0,6.15921
-122.27,52.0,0,0,1,0,1222.0,3.7708
-117.35,23.0,0,0,0,1,3297.0,2.5754
-117.83,4.0,1,0,0,0,1011.0,6.15921
-118.37,52.0,1,0,0,0,2195.0,5.24
-118.03,43.0,0,1,0,0,1694.0,4.1797
-122.47,52.0,0,0,1,0,2275.0,4.0652
-122.84,21.0,0,1,0,0,941.0,1.9038
-122.15,40.0,0,0,1,0,1445.0,3.8913
-118.18,42.0,1,0,0,0,2608.0,3.5341
-118.17,52.0,0,0,0,1,2539.0,4.1354
-120.83,6.0,0,1,0,0,1488.0,4.1859
-121.32,36.0,0,1,0,0,941.0,2.7045
-117.1,49.0,0,0,0,1,4449.0,5.7768
-121.49,51.0,0,1,0,0,1492.0,1.9038
-118.05,25.0,1,0,0,0,4651.500000000011,2.7254
-117.94,27.0,1,0,0,0,1366.0,3.4
-117.05,17.0,1,0,0,0,3430.0,6.15921
-122.25,52.0,0,0,1,0,941.0,4.0368
-118.01,19.0,0,0,0,1,4559.0,4.355
-117.84,5.0,1,0,0,0,941.0,4.5833
-122.31,35.0,0,0,1,0,3997.0,3.285
-118.35,52.0,1,0,0,0,941.0,3.25
-121.7,19.0,0,1,0,0,4651.500000000011,3.3398
-122.02,35.0,1,0,0,0,2348.0,4.35
-118.48,35.0,1,0,0,0,1865.0,5.1068
-118.45,34.0,1,0,0,0,1843.0,3.6875
-118.3,23.0,0,0,0,1,3075.0,2.9386
-118.39,49.0,1,0,0,0,1230.0,3.9038
-120.54,17.0,0,1,0,0,3391.0,3.4028
-121.3,19.0,0,1,0,0,1403.0,3.215
-117.99,40.0,0,1,0,0,3838.0,4.2407
-117.99,33.0,1,0,0,0,2161.0,5.6454
-121.43,33.0,0,1,0,0,2289.0,2.1694
-121.88,30.0,1,0,0,0,2453.0,3.7396
-117.87,34.0,1,0,0,0,3415.0,4.498
-117.95,35.0,1,0,0,0,1068.0,4.0735
-117.36,7.0,0,1,0,0,4651.500000000011,6.15921
-117.88,16.0,1,0,0,0,4651.500000000011,5.5469
-117.7,6.0,1,0,0,0,4651.500000000011,6.15921
-121.88,41.0,1,0,0,0,941.0,2.375
-121.51,42.0,0,1,0,0,1822.0,1.9038
-117.06,5.0,0,0,0,1,3223.0,1.9038
-118.9,14.0,1,0,0,0,2627.0,6.15921
-118.28,52.0,1,0,0,0,2602.0,5.3185
-121.5,8.0,0,1,0,0,4651.500000000011,3.7188
-122.42,35.0,0,0,1,0,1791.0,4.5769
-118.32,19.0,1,0,0,0,3792.0,5.2363
-118.24,32.0,1,0,0,0,1132.0,2.1838
-118.08,21.0,1,0,0,0,1189.0,3.3155
-122.12,26.0,0,0,1,0,4048.0,6.15921
-118.41,49.0,1,0,0,0,941.0,6.15921
-118.15,25.0,0,0,0,1,4013.0,3.0453
-118.32,47.0,1,0,0,0,2589.0,5.1008
-117.12,26.0,0,0,0,1,1221.0,2.4821
-117.69,13.0,1,0,0,0,2020.0,5.756
-120.09,16.0,0,1,0,0,3222.0,4.1544
-116.52,21.0,0,1,0,0,4651.500000000011,2.5212
-122.27,52.0,0,0,1,0,1769.0,2.6914
-121.93,16.0,1,0,0,0,2111.0,5.0477
-120.17,18.0,0,1,0,0,1046.0,4.119
-117.89,36.0,1,0,0,0,1811.0,5.5629
-117.58,27.0,0,1,0,0,941.0,1.9531
-117.38,30.0,0,1,0,0,2953.0,2.6895
-118.18,7.0,1,0,0,0,2529.0,4.7853
-122.3,52.0,0,0,1,0,1224.0,1.9038
-122.31,26.0,0,1,0,0,2723.0,2.3594
-122.69,32.0,1,0,0,0,2344.0,4.0313
-117.25,4.0,0,1,0,0,2372.0,5.1112
-118.1,15.0,0,0,0,1,4651.500000000011,5.6051
-117.21,32.0,0,1,0,0,1677.0,3.6853
-118.12,36.0,1,0,0,0,2565.0,4.6087
-118.07,39.0,1,0,0,0,941.0,3.25
-118.36,52.0,1,0,0,0,1295.0,2.976
-117.91,33.0,1,0,0,0,1391.0,4.1944
-117.54,5.0,1,0,0,0,4651.500000000011,4.7965
-118.27,47.0,1,0,0,0,941.0,1.9038
-117.85,32.0,1,0,0,0,1766.0,4.0417
-121.9,26.0,1,0,0,0,3756.0,5.6427
-118.4,34.0,1,0,0,0,2638.0,4.2989
-117.67,16.0,1,0,0,0,2102.0,4.7981
-121.75,27.0,1,0,0,0,1580.0,4.7071
-117.97,25.0,1,0,0,0,3273.0,5.8195
-118.04,23.0,1,0,0,0,3132.0,5.777
-118.42,30.0,1,0,0,0,3027.0,4.3409
-118.43,33.0,1,0,0,0,2443.0,4.0223
-121.51,31.0,0,1,0,0,1595.0,6.15921
-121.74,11.0,1,0,0,0,1290.0,4.2039
-121.65,31.0,0,1,0,0,1599.0,3.0
-118.19,40.0,1,0,0,0,973.0,2.8214
-117.66,36.0,0,1,0,0,1485.0,3.3036
-121.31,27.0,0,1,0,0,1998.0,4.8224
-118.2,44.0,1,0,0,0,1413.0,3.5125
-118.2,27.0,1,0,0,0,2732.0,2.6465
-118.21,29.0,1,0,0,0,1478.0,1.9038
-121.47,31.0,0,1,0,0,1072.0,1.9038
-118.25,40.0,1,0,0,0,1867.0,1.9038
-118.4,37.0,1,0,0,0,2458.0,6.15921
-121.44,28.0,0,1,0,0,1219.0,3.8295
-117.86,17.0,1,0,0,0,1452.0,6.15921
-122.16,35.0,0,0,1,0,941.0,3.8047
-122.05,25.0,1,0,0,0,4111.0,6.15921
-122.07,27.0,0,0,1,0,2784.0,2.4808
-117.09,20.0,0,0,0,1,1445.0,2.619
-117.67,29.0,0,1,0,0,1840.0,3.5036
-118.19,14.0,0,1,0,0,2992.0,3.7452
-122.34,42.0,0,0,1,0,1531.0,2.6167
-119.76,17.0,0,1,0,0,3690.0,4.0196
-122.1,31.0,0,0,1,0,1892.0,3.125
-117.18,37.0,0,0,0,1,3112.0,3.2121
-119.78,29.0,0,1,0,0,1871.0,4.5714
-118.19,23.0,0,0,0,1,954.0,2.5833
-122.27,27.0,0,0,1,0,1055.0,2.6354
-121.25,31.0,0,1,0,0,1673.0,2.0833
-118.06,36.0,0,1,0,0,1493.0,3.86
-122.58,22.0,0,0,1,0,4651.500000000011,4.6463
-118.32,40.0,1,0,0,0,1298.0,3.2344
-118.43,37.0,1,0,0,0,4400.0,6.15921
-117.9,32.0,1,0,0,0,1640.0,2.6292
-122.1,44.0,0,0,1,0,2341.0,2.9507
-120.47,25.0,0,1,0,0,2505.0,2.006
-118.02,38.0,0,1,0,0,1778.0,6.15921
-121.78,21.0,1,0,0,0,2794.0,2.4053
-118.19,35.0,1,0,0,0,1296.0,2.7432
-118.06,14.0,0,0,0,1,2665.0,6.15921
-122.23,52.0,0,0,1,0,1705.0,5.75
-114.68,20.0,0,1,0,0,1491.0,1.9038
-122.02,28.0,0,0,1,0,2965.0,4.6375
-120.44,13.0,1,0,0,0,2312.0,5.038
-118.36,48.0,1,0,0,0,1835.0,3.2813
-122.0,36.0,1,0,0,0,1236.0,5.791
-122.65,52.0,1,0,0,0,1735.0,3.1711
-121.88,45.0,1,0,0,0,2213.0,3.2806
-117.19,18.0,0,0,0,1,4231.0,6.15921
-117.21,31.0,0,1,0,0,3037.0,3.3445
-117.33,15.0,0,0,0,1,3672.0,2.9716
-115.59,8.0,0,1,0,0,2183.0,6.15921
-118.2,36.0,1,0,0,0,1625.0,2.181
-118.26,40.0,1,0,0,0,941.0,2.2607
-119.57,22.0,1,0,0,0,2512.0,5.759
-118.59,26.0,1,0,0,0,2335.0,2.9974
-117.87,18.0,1,0,0,0,941.0,2.6635
-118.14,39.0,0,0,0,1,1995.0,4.0795
-123.25,27.0,0,0,0,1,3658.0,3.3536
-118.14,44.0,1,0,0,0,1607.0,5.084
-122.4,32.0,0,0,0,1,3586.0,3.1058
-117.31,15.0,0,1,0,0,1703.0,3.7917
-122.12,21.0,1,0,0,0,941.0,5.8691
-124.13,34.0,0,0,0,1,2142.0,2.1101
-118.36,43.0,1,0,0,0,1356.0,1.9038
-122.11,32.0,0,0,1,0,2372.0,4.3235
-118.0,35.0,1,0,0,0,1942.0,4.5144
-121.91,22.0,1,0,0,0,2614.0,6.0712
-118.49,25.0,1,0,0,0,1131.0,1.9038
-120.61,16.0,1,0,0,0,3431.0,2.7301
-117.11,9.0,1,0,0,0,1531.0,6.0862
-121.11,12.0,0,1,0,0,2263.0,3.5795
-122.51,19.0,0,1,0,0,1629.0,1.9038
-118.38,15.0,1,0,0,0,1778.0,6.15921
-121.49,20.0,0,1,0,0,941.0,1.9038
-117.23,28.0,0,0,0,1,3379.0,3.0293
-121.53,33.0,0,1,0,0,4651.500000000011,1.9728
-118.28,14.0,1,0,0,0,1787.0,1.9038
-120.91,13.0,0,1,0,0,4651.500000000011,3.653
-122.17,28.0,0,1,0,0,1782.0,3.3594
-118.18,32.0,1,0,0,0,1452.0,3.5461
-118.32,52.0,1,0,0,0,3104.0,2.6667
-118.03,30.0,1,0,0,0,2572.0,3.4861
-118.55,21.0,1,0,0,0,2549.0,3.6905
-121.66,33.0,1,0,0,0,3252.0,3.4222
-117.22,34.0,0,0,0,1,2936.0,3.7841
-116.21,19.0,0,1,0,0,1596.0,3.8846
-121.5,44.0,0,1,0,0,1375.0,2.1719
-118.05,34.0,1,0,0,0,2142.0,4.0379
-119.31,18.0,0,1,0,0,3860.0,2.0714
-118.11,36.0,1,0,0,0,1074.0,4.625
-120.51,20.0,0,1,0,0,1193.0,1.9417
-122.54,36.0,0,0,0,1,3988.0,4.2472
-118.72,17.0,1,0,0,0,2654.0,5.4459
-118.42,37.0,1,0,0,0,1576.0,5.308
-117.99,29.0,1,0,0,0,2470.0,3.1801
-116.79,16.0,0,1,0,0,941.0,1.9038
-115.57,31.0,0,1,0,0,1494.0,3.5282
-117.32,9.0,0,1,0,0,4651.500000000011,3.125
-118.29,9.0,1,0,0,0,1554.0,2.0185
-121.84,33.0,1,0,0,0,1019.0,4.0929
-118.43,39.0,1,0,0,0,1733.0,3.2308
-118.17,38.0,1,0,0,0,1280.0,4.375
-118.47,7.0,1,0,0,0,4651.500000000011,4.642
-117.25,32.0,0,0,0,1,2402.0,3.3942
-118.21,31.0,1,0,0,0,1453.0,2.3859
-122.04,17.0,0,0,0,1,4651.500000000011,3.8854
-118.35,45.0,1,0,0,0,1839.0,2.5625
-119.8,24.0,0,1,0,0,4651.500000000011,3.4542
-118.36,39.0,1,0,0,0,1390.0,3.3056
-122.42,52.0,0,0,1,0,1176.0,1.9038
-119.71,17.0,0,1,0,0,2056.0,3.9338
-121.83,36.0,0,1,0,0,941.0,2.3438
-117.03,38.0,0,0,0,1,3174.0,3.5861
-118.32,27.0,1,0,0,0,2113.0,4.7062
